N,P,K,temperature,humidity,ph,rainfall,label
23,72,84,19.02061277,17.13159126,6.920251378,79.92698081,chickpea
39,58,85,17.88776475,15.40589717,5.996932037,68.54932919,chickpea
22,72,85,18.86805647,15.65809214,6.391173589,88.51048983,chickpea
36,67,77,18.36952567,19.56381041,7.152811172,79.26357665,chickpea
32,73,81,20.45078582,15.40312102,5.988992796,92.68373702,chickpea
58,70,84,20.6543203,16.60820843,6.231049028,74.6631118,chickpea
59,70,84,17.3348681,18.74926979,7.550808267,82.61734721,chickpea
42,62,75,18.17912258,18.90426935,7.010570541,81.84997529,chickpea
28,74,81,18.01272266,18.30968112,8.753795334,81.98568791,chickpea
58,66,79,20.99373558,19.33470387,8.718192847,93.55280105,chickpea
43,66,79,19.46233971,15.22538951,7.976607593,74.58565097,chickpea
58,63,81,19.81344531,14.69765308,6.515499549,78.96514709,chickpea
23,62,85,18.97424756,19.5161216,8.490127142,80.7108745,chickpea
27,62,77,18.19737048,14.71070537,6.576415562,70.18185181,chickpea
28,72,84,18.72963144,19.18197264,6.481783043,71.58010169,chickpea
50,56,76,20.99502153,19.8601304,7.966605025,73.50734019,chickpea
39,71,84,20.28155898,16.39535215,8.140825437,82.52339655,chickpea
25,78,76,17.48042641,15.7559405,7.228963452,66.96980581,chickpea
31,70,77,20.88818675,14.32313811,6.492546046,90.46228334,chickpea
26,80,83,17.08498521,16.14565756,7.528599957,71.31007253,chickpea
25,68,77,20.09340593,15.11279612,7.701446446,85.74904898,chickpea
13,60,25,17.13692774,20.59541693,5.68597166,128.256862,kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,106.3598183,kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,109.225556,kidneybeans
40,64,16,16.43340342,24.24045875,5.926676985,140.3717815,kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,76.64128258,kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,143.0984171,kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,60.91974792,kidneybeans
26,80,18,19.32509638,23.3334788,5.581021521,104.7783947,kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,132.9801054,kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,130.0608093,kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,143.7630894,kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,144.1567454,kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,134.3649948,kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,88.06638775,kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,69.63833855,kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,116.5206923,kidneybeans
27,80,15,19.07096165,21.21092266,5.788386951,86.21917578,kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,137.1948633,kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,122.6539694,pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,163.7266551,pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,103.3301803,pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,142.3303677,pigeonpeas
10,79,18,21.0643684,55.46985938,5.624731338,184.6226709,pigeonpeas
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
40,70,20,31.80130272,45.03186173,5.623490043,147.0361442,pigeonpeas
38,55,19,33.18184225,38.23184742,5.864623352,198.8298806,pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,90.05422663,pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,127.7767134,pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,108.6333046,pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444883,176.6165894,pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031708,96.36222901,pigeonpeas
16,80,20,31.24021696,56.67369054,7.339320929,122.0146733,pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,120.7435664,pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,96.51524028,pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,180.382234,pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,107.4721605,pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,161.4812963,pigeonpeas
16,70,20,24.80467592,40.1242747,5.6093956,121.5639121,pigeonpeas
24,63,19,19.3479443,55.96805489,4.681576043,194.5921148,pigeonpeas
9,76,25,28.88302142,50.12323801,5.70951224,179.2155874,pigeonpeas
16,55,19,19.54314136,47.19188279,6.413543781,192.4372194,pigeonpeas
28,75,21,24.7741949,50.54621094,6.007508163,114.2821387,pigeonpeas
22,59,23,27.32220619,51.27868781,4.371745575,36.5037914,mothbeans
36,58,25,28.66024187,59.3189118,8.399135958,36.92629678,mothbeans
4,43,18,29.02955344,61.09387478,8.840656256,72.98016599,mothbeans
29,54,16,27.78031515,54.65030015,8.153022903,32.05025323,mothbeans
32,43,22,31.99928579,54.1077461,5.270749441,71.6266696,mothbeans
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
5,35,20,28.92952635,53.57014709,9.679240873,66.35634104,mothbeans
25,57,24,27.65472156,58.59986279,6.974978386,36.94255012,mothbeans
11,53,24,28.52396666,55.77264351,7.39389918,61.32935611,mothbeans
40,49,17,31.02215872,45.89239456,6.68727523,53.56783314,mothbeans
38,56,25,25.74095321,45.38497051,7.88118645,67.43488235,mothbeans
27,43,23,31.70447482,56.85420099,5.875333778,44.94317432,mothbeans
24,38,22,24.47876451,58.51663927,8.202706015,34.96933295,mothbeans
23,45,21,31.46511256,51.79939437,8.985348193,74.44330654,mothbeans
29,57,20,25.60973447,50.7330069,5.87707519,53.39249517,mothbeans
31,35,23,30.30260453,47.18283631,7.707595055,68.04039813,mothbeans
0,55,25,28.17489437,43.6672299,4.524171562,45.78172762,mothbeans
7,45,22,25.50634557,44.8302551,9.926212291,74.32635105,mothbeans
17,58,25,31.12896766,43.58788762,6.455592696,32.76742894,mothbeans
11,44,17,26.34043268,55.59160391,8.016210782,35.1051197,mothbeans
22,49,22,28.23494706,61.5620517,3.71105919,72.66666443,mothbeans
9,51,19,27.04453473,49.32609633,5.49091063,48.25207759,mothbeans
28,48,15,25.16125354,55.25435777,9.254089438,40.89732789,mothbeans
26,50,19,27.3179125,51.66921088,6.005242945,32.55919573,mothbeans
36,56,20,25.4123765,49.66474269,7.437078236,31.87416982,mothbeans
8,60,18,31.21629982,46.01868196,3.808429173,53.1205277,mothbeans
24,37,21,30.573999,58.22686794,5.818219385,62.74803826,mothbeans
22,43,24,25.42517036,53.2208266,4.52363558,46.19374559,mothbeans
36,43,24,27.09400578,43.65305437,3.510404312,41.53749535,mothbeans
22,44,24,24.30935081,56.32938343,6.030447288,58.99536268,mothbeans
17,43,22,30.06142622,45.90067655,5.498340808,41.0550915,mothbeans
8,45,15,28.09568993,60.9835384,4.61136408,33.84110759,mothbeans
7,56,23,26.33908791,40.00933429,5.545219232,55.50429227,mothbeans
36,57,16,28.61409059,57.14218792,8.292875734,57.02891698,mothbeans
11,45,19,28.70012137,44.359648,3.828031463,44.11622138,mothbeans
6,36,22,24.21610338,59.79236306,8.869532817,42.24783476,mothbeans
17,57,20,28.50677929,45.20094476,3.793575185,66.1761456,mothbeans
4,47,20,25.97948991,64.95585424,4.193189124,72.19245835,mothbeans
